sensor_id,donor,Raw,Self_RF,Borrow_RF,Global_RF,MAML
MCH__AQM388_S1,MCH__AQY872_S1,13.482099689654634,21.024126445563766,6.322435093422282,4.245564035741073,9.706431807501948
MCH__Ari063_S1,MCH__AQY872_S1,7.576304302927122,8.444200893408158,7.026337716707998,5.180685972225061,4.9407730739520375
YRK__AQM391_S1,YRK__AQY875_S2,8.925113024626278,9.132979713982643,16.464752958275128,9.75973555807649,7.822073337602836
YRK__Ari093_S1,YRK__AQY875_S2,14.310549909330526,10.853710933492872,18.78714714414226,14.131550739657795,9.725438040104581
LON__AQM389_S1,LON__AQY874_S1,16.445937404248205,8.732613116038365,13.035914333826677,18.784238874450306,6.776297770733619
LON__Ari086_S1,LON__AQY874_S1,234.945829384634,7.579684503844508,10.107709286547063,14.214077708510027,9.004266619186762
MCH__Prax1_S1,MCH__AQY872_S1,5.046315863721221,4.252182211074124,7.982733445633619,5.262449513350981,5.3203107693831715
MCH__Prax2_S1,MCH__AQY872_S1,5.261959589067984,5.612036306891935,7.465702128002768,3.3385955627636075,4.239947846596408
MCH__Poll2_S1,MCH__AQY872_S1,16.194893226760716,6.7465684470805,6.923741253768885,4.289193255354566,5.015522889113479
MCH__Ari078_S1,MCH__AQY872_S1,4.616642055172688,4.776505043082541,5.068677576928308,4.644488352254738,5.0997174550493165
