sensor_id,detector,precision,recall,f1
MCH__Prax1_S1,IQR,0.07,0.45,0.121
MCH__Prax1_S1,Consensus,0.006,0.817,0.012
MCH__Prax1_S1,Ensemble(ours),0.007,0.433,0.013
MCH__Prax1_S1,IsolationForest,0.021,0.267,0.039
MCH__Prax1_S1,OneClassSVM,0.033,0.417,0.061
MCH__Prax1_S1,Autoencoder,0.042,0.267,0.073
MCH__Prax2_S1,Z-score,0.072,0.1,0.084
MCH__Prax2_S1,IQR,0.127,0.167,0.144
MCH__Prax2_S1,Consensus,0.009,0.7,0.018
MCH__Prax2_S1,Ensemble(ours),0.011,0.317,0.021
MCH__Prax2_S1,IsolationForest,0.0,0.0,
MCH__Prax2_S1,OneClassSVM,0.015,0.183,0.027
MCH__Prax2_S1,Autoencoder,0.004,0.017,0.007
YRK__AQM391_S1,Z-score,0.194,0.236,0.213
YRK__AQM391_S1,IQR,0.231,0.273,0.25
YRK__AQM391_S1,Consensus,0.007,0.982,0.013
YRK__AQM391_S1,Ensemble(ours),0.008,0.673,0.016
YRK__AQM391_S1,IsolationForest,0.025,0.836,0.049
YRK__AQM391_S1,OneClassSVM,0.03,0.982,0.059
YRK__AQM391_S1,Autoencoder,0.046,0.582,0.085
YRK__AQY875_S2,Z-score,0.2,0.132,0.159
YRK__AQY875_S2,IQR,0.241,0.22,0.23
YRK__AQY875_S2,Consensus,0.0,0.0,
YRK__AQY875_S2,Ensemble(ours),0.016,0.187,0.029
YRK__AQY875_S2,IsolationForest,0.015,0.626,0.029
YRK__AQY875_S2,OneClassSVM,0.016,0.901,0.031
YRK__AQY875_S2,Autoencoder,0.012,0.495,0.024
YRK__Ari093_S1,Z-score,0.142,0.195,0.164
YRK__Ari093_S1,IQR,0.126,0.299,0.178
YRK__Ari093_S1,Consensus,0.011,0.792,0.022
YRK__Ari093_S1,Ensemble(ours),0.014,0.74,0.028
YRK__Ari093_S1,IsolationForest,0.019,0.623,0.037
YRK__Ari093_S1,OneClassSVM,0.019,0.649,0.037
YRK__Ari093_S1,Autoencoder,0.036,0.623,0.069
