sensor_id,detector,precision,recall,f1
MCH__Prax1_S1,IQR,0.151,0.383,0.217
MCH__Prax1_S1,Consensus,0.017,0.7,0.033
MCH__Prax1_S1,Ensemble(ours),0.264,0.4,0.318
MCH__Prax1_S1,IsolationForest,0.022,0.283,0.04
MCH__Prax1_S1,OneClassSVM,0.044,0.517,0.08
MCH__Prax1_S1,Autoencoder,0.076,0.333,0.123
MCH__Prax2_S1,Z-score,0.008,0.017,0.011
MCH__Prax2_S1,IQR,0.079,0.267,0.122
MCH__Prax2_S1,Consensus,0.02,0.783,0.038
MCH__Prax2_S1,Ensemble(ours),0.113,0.267,0.158
MCH__Prax2_S1,IsolationForest,0.0,0.0,
MCH__Prax2_S1,OneClassSVM,0.023,0.15,0.039
MCH__Prax2_S1,Autoencoder,0.019,0.067,0.029
YRK__AQM391_S1,Z-score,0.141,0.164,0.151
YRK__AQM391_S1,IQR,0.128,0.091,0.106
YRK__AQM391_S1,Consensus,0.058,0.891,0.11
YRK__AQM391_S1,Ensemble(ours),0.106,0.745,0.186
YRK__AQM391_S1,IsolationForest,0.02,0.836,0.04
YRK__AQM391_S1,OneClassSVM,0.024,0.982,0.047
YRK__AQM391_S1,Autoencoder,0.032,0.855,0.061
YRK__AQY875_S2,Z-score,0.172,0.121,0.142
YRK__AQY875_S2,IQR,0.241,0.154,0.188
YRK__AQY875_S2,Consensus,0.0,0.0,
YRK__AQY875_S2,Ensemble(ours),0.45,0.099,0.162
YRK__AQY875_S2,IsolationForest,0.029,0.352,0.054
YRK__AQY875_S2,OneClassSVM,0.045,0.604,0.084
YRK__AQY875_S2,Autoencoder,0.088,0.429,0.147
YRK__Ari093_S1,Z-score,0.194,0.182,0.188
YRK__Ari093_S1,IQR,0.188,0.117,0.144
YRK__Ari093_S1,Consensus,0.067,0.779,0.124
YRK__Ari093_S1,Ensemble(ours),0.144,0.714,0.24
YRK__Ari093_S1,IsolationForest,0.022,0.545,0.042
YRK__Ari093_S1,OneClassSVM,0.026,0.649,0.049
YRK__Ari093_S1,Autoencoder,0.048,0.61,0.09
